TYPE,TEETH OF GEAR,QTY,UNIT,Dia /size,DP/ B.SIZE,Pitch dia(in inch),Module,STORAGE LOCATION RACK AND SLOT NO,UNIQUE ID,
COMP-DIE,18,1,Nos,,,,,at stranding m/c,COMP-DIE--18----,
COMP-DIE,13.8,1,Nos,,,,,at stranding m/c,COMP-DIE--13.8----,
COMP-DIE,13.1,1,Nos,,,,,at stranding m/c,COMP-DIE--13.1----,
COMP-DIE,12.2,1,Nos,,,,,at stranding m/c,COMP-DIE--12.2----,
COMP-DIE,12.8,1,Nos,,,,,at stranding m/c,COMP-DIE--12.8----,
COMP-DIE,14.3,1,Nos,,,,,at stranding m/c,COMP-DIE--14.3----,
COMP-DIE,11,1,Nos,,,,,at stranding m/c,COMP-DIE--11----,
COMP-DIE,13.6,1,Nos,,,,,at stranding m/c,COMP-DIE--13.6----,
COMP-DIE,13,1,Nos,,,,,at stranding m/c,COMP-DIE--13----,
COMP-DIE,12.2,1,Nos,,,,,at stranding m/c,COMP-DIE--12.2----,
COMP-DIE,12.5,1,Nos,,,,,at stranding m/c,COMP-DIE--12.5----,
COMP-DIE,11.8,1,Nos,,,,,at stranding m/c,COMP-DIE--11.8----,
COMP-DIE,12.6,1,Nos,,,,,at stranding m/c,COMP-DIE--12.6----,
COMP-DIE,15,1,Nos,,,,,at stranding m/c,COMP-DIE--15----,
COMP-DIE,8.6,1,Nos,,,,,at stranding m/c,COMP-DIE--8.6----,
COMP-DIE,13.7,1,Nos,,,,,at stranding m/c,COMP-DIE--13.7----,
COMP-DIE,10.8,1,Nos,,,,,at stranding m/c,COMP-DIE--10.8----,
COMP-DIE,13.2,1,Nos,,,,,at stranding m/c,COMP-DIE--13.2----,
COMP-DIE,12.2,1,Nos,,,,,at stranding m/c,COMP-DIE--12.2----,
COMP-DIE,11.56,1,Nos,,,,,at stranding m/c,COMP-DIE--11.56----,
COMP-DIE,8.8,1,Nos,,,,,at stranding m/c,COMP-DIE--8.8----,
COMP-DIE,4.93,1,Nos,,,,,at stranding m/c,COMP-DIE--4.93----,
COMP-DIE,12,1,Nos,,,,,at stranding m/c,COMP-DIE--12----,
COMP-DIE,5.62,1,Nos,,,,,at stranding m/c,COMP-DIE--5.62----,
COMP-DIE,6.9,1,Nos,,,,,at stranding m/c,COMP-DIE--6.9----,
COMP-DIE,6,1,Nos,,,,,at stranding m/c,COMP-DIE--6----,
COMP-DIE,6.4,1,Nos,,,,,at stranding m/c,COMP-DIE--6.4----,
COMP-DIE,11.2,1,Nos,,,,,at stranding m/c,COMP-DIE--11.2----,
COMP-DIE,5.56,1,Nos,,,,,at stranding m/c,COMP-DIE--5.56----,
COMP-DIE,3.81,1,Nos,,,,,at stranding m/c,COMP-DIE--3.81----,
COMP-DIE,9.8,1,Nos,,,,,at stranding m/c,COMP-DIE--9.8----,
COMP-DIE,7.2,1,Nos,,,,,at stranding m/c,COMP-DIE--7.2----,
COMP-DIE,7.9,1,Nos,,,,,at stranding m/c,COMP-DIE--7.9----,
COMP-DIE,4.75,1,Nos,,,,,at stranding m/c,COMP-DIE--4.75----,
V-BELT,A-TYPE,1,Nos,71,,,,4B,V-BELT--A-TYPE--71--,4B
V-BELT,A-TYPE,1,Nos,46,,,,4B,V-BELT--A-TYPE--46--,4B
V-BELT,A-TYPE,1,Nos,34,,,,WALL,V-BELT--A-TYPE--34--,WALL
V-BELT,A-TYPE,1,Nos,30,,,,WALL,V-BELT--A-TYPE--30--,WALL
V-BELT,B-TYPE,1,Nos,106,,,,WALL,V-BELT--B-TYPE--106--,WALL
V-BELT,B-TYPE,1,Nos,108,,,,WALL,V-BELT--B-TYPE--108--,WALL
V-BELT,B-TYPE,1,Nos,100,,,,WALL,V-BELT--B-TYPE--100--,WALL
V-BELT,B-TYPE,1,Nos,96,,,,WALL,V-BELT--B-TYPE--96--,WALL
V-BELT,B-TYPE,1,Nos,95,,,,WALL,V-BELT--B-TYPE--95--,WALL
V-BELT,B-TYPE,1,Nos,90,,,,4E,V-BELT--B-TYPE--90--,4E
V-BELT,B-TYPE,1,Nos,88,,,,WALL,V-BELT--B-TYPE--88--,WALL
V-BELT,B-TYPE,1,Nos,84,,,,4F,V-BELT--B-TYPE--84--,4F
V-BELT,B-TYPE,1,Nos,82,,,,Wall,V-BELT--B-TYPE--82--,
V-BELT,B-TYPE,1,Nos,79,,,,4E,V-BELT--B-TYPE--79--,4E
V-BELT,B-TYPE,1,Nos,74,,,,4F,V-BELT--B-TYPE--74--,4F
V-BELT,B-TYPE,1,Nos,73,,,,4E,V-BELT--B-TYPE--73--,4E
V-BELT,B-TYPE,1,Nos,70,,,,4E,V-BELT--B-TYPE--70--,4E
V-BELT,B-TYPE,1,Nos,68,,,,Wall,V-BELT--B-TYPE--68--,
V-BELT,B-TYPE,1,Nos,67,,,,4E,V-BELT--B-TYPE--67--,4E
V-BELT,B-TYPE,1,Nos,64,,,,4E,V-BELT--B-TYPE--64--,4E
V-BELT,B-TYPE,1,Nos,62,,,,4E,V-BELT--B-TYPE--62--,4E
V-BELT,B-TYPE,1,Nos,60,,,,4F,V-BELT--B-TYPE--60--,4F
V-BELT,B-TYPE,1,Nos,58,,,,4E,V-BELT--B-TYPE--58--,4E
V-BELT,B-TYPE,1,Nos,56,,,,Wall,V-BELT--B-TYPE--56--,
V-BELT,B-TYPE,1,Nos,52,,,,4E,V-BELT--B-TYPE--52--,4E
V-BELT,B-TYPE,1,Nos,51,,,,4E,V-BELT--B-TYPE--51--,4E
V-BELT,B-TYPE,1,Nos,47,,,,4E,V-BELT--B-TYPE--47--,4E
V-BELT,B-TYPE,1,Nos,44,,,,4E,V-BELT--B-TYPE--44--,4E
V-BELT,B-TYPE,1,Nos,43,,,,WALL,V-BELT--B-TYPE--43--,WALL
V-BELT,B-TYPE,1,Nos,42,,,,4E,V-BELT--B-TYPE--42--,4E
V-BELT,B-TYPE,1,Nos,41,,,,4E,V-BELT--B-TYPE--41--,4E
V-BELT,C-TYPE,1,Nos,165,,,,4C,V-BELT--C-TYPE--165--,4C
